"WTSSHS4Y.Code.or.Value","WTSSHS4Y.Value.Description","WTSSHS4Y.Count","WTSSHS4Y.Cumulative","WTSSHS4Y.Skip.to.Item"
"1305.145229 to 115481.05496","Range of Values",1211,1211,NA
"0","No lab specimen",0,1211,NA
".","Missing",0,1211,NA
