"DR2TP184.Code.or.Value","DR2TP184.Value.Description","DR2TP184.Count","DR2TP184.Cumulative","DR2TP184.Skip.to.Item"
"0 to 0.584","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
