"DRD370CQ.Code.or.Value","DRD370CQ.Value.Description","DRD370CQ.Count","DRD370CQ.Cumulative","DRD370CQ.Skip.to.Item"
"1 to 5","Range of Values",32,32,NA
".","Missing",9611,9643,NA
