"DR2TKCAL.Code.or.Value","DR2TKCAL.Value.Description","DR2TKCAL.Count","DR2TKCAL.Cumulative","DR2TKCAL.Skip.to.Item"
"0 to 8213","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
