"DR2EXMER.Code.or.Value","DR2EXMER.Value.Description","DR2EXMER.Count","DR2EXMER.Cumulative","DR2EXMER.Skip.to.Item"
"11 to 97","Range of Values",8516,8516,NA
".","Missing",1434,9950,NA
