"DS2ANCNT.Code.or.Value","DS2ANCNT.Value.Description","DS2ANCNT.Count","DS2ANCNT.Cumulative","DS2ANCNT.Skip.to.Item"
"0 to 2","Range of Values",8388,8388,NA
".","Missing",1865,10253,NA
