"DRD370P.Code.or.Value","DRD370P.Value.Description","DRD370P.Count","DRD370P.Cumulative","DRD370P.Skip.to.Item"
"1","Yes",6,6,""
"2","No",2021,2027,"DRD370Q"
".","Missing",8450,10477,""
