"URDDHBLC.Code.or.Value","URDDHBLC.Value.Description","URDDHBLC.Count","URDDHBLC.Cumulative","URDDHBLC.Skip.to.Item"
"0","At or above the detection limit",2465,2465,NA
"1","Below lower detection limit",1,2466,NA
".","Missing",85,2551,NA
