"SSHCVRNA.Code.or.Value","SSHCVRNA.Value.Description","SSHCVRNA.Count","SSHCVRNA.Cumulative","SSHCVRNA.Skip.to.Item"
"1","Positive",64,64,NA
"2","Negative",12,76,NA
".","Missing",0,76,NA
