"PAQ759e.Code.or.Value","PAQ759e.Value.Description","PAQ759e.Count","PAQ759e.Cumulative","PAQ759e.Skip.to.Item"
"5","FOOTBALL",134,134,NA
".","Missing",9350,9484,NA
