"BIXS067K.Code.or.Value","BIXS067K.Value.Description","BIXS067K.Count","BIXS067K.Cumulative","BIXS067K.Skip.to.Item"
"305.97 to 904.97","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
