"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 3.596","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
