"RHQ566.Code.or.Value","RHQ566.Value.Description","RHQ566.Count","RHQ566.Cumulative","RHQ566.Skip.to.Item"
"1","Yes",7,7,NA
"2","No",79,86,NA
"7","Refused",0,86,NA
"9","Don't know",0,86,NA
".","Missing",3511,3597,NA
