"VTQ280E.Code.or.Value","VTQ280E.Value.Description","VTQ280E.Count","VTQ280E.Cumulative","VTQ280E.Skip.to.Item"
"1","Yes",99,99,NA
"2","No",3018,3117,NA
"7","Refused",0,3117,NA
"9","Don't know",1,3118,NA
".","Missing",297,3415,NA
