"AUXLR158.Code.or.Value","AUXLR158.Value.Description","AUXLR158.Count","AUXLR158.Cumulative","AUXLR158.Skip.to.Item"
"-12 to 71","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
