"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",3705,3705,NA
"2","No",6829,10534,NA
".","Missing",3,10537,NA
