"HIQ210.Code.or.Value","HIQ210.Value.Description","HIQ210.Count","HIQ210.Cumulative","HIQ210.Skip.to.Item"
"1","Yes",593,593,NA
"2","No",7563,8156,NA
"7","Refused",0,8156,NA
"9","Don't know",2,8158,NA
".","Missing",1991,10149,NA
