"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"668.1 to 1200","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
