"CIQP67.Code.or.Value","CIQP67.Value.Description","CIQP67.Count","CIQP67.Cumulative","CIQP67.Skip.to.Item"
"0 to 350","Range of Values",52,52,NA
"777","Refused",0,52,NA
"999","Don't know",1,53,NA
".","Missing",875,928,NA
