"SMQ077.Code.or.Value","SMQ077.Value.Description","SMQ077.Count","SMQ077.Cumulative","SMQ077.Skip.to.Item"
"1","Within 5 minutes",284,284,NA
"2","From 6 to 30 minutes",257,541,NA
"3","From more than 30 minutes to one hour",187,728,NA
"4","More than one hour",205,933,NA
"7","Refused",0,933,NA
"9","Don't know",1,934,NA
".","Missing",4107,5041,NA
