"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"7 to 678","Range of Values",2671,2671,NA
".","Missing",85,2756,NA
