"LBCTC2.Code.or.Value","LBCTC2.Value.Description","LBCTC2.Count","LBCTC2.Cumulative","LBCTC2.Skip.to.Item"
"4.86 to 68.9","Range of Values",246,246,NA
".","Missing",18,264,NA
