"DS2IVB12.Code.or.Value","DS2IVB12.Value.Description","DS2IVB12.Count","DS2IVB12.Cumulative","DS2IVB12.Skip.to.Item"
"0.08 to 25000","Range of Values",1936,1936,NA
".","Missing",3763,5699,NA
