"AUXLR213.Code.or.Value","AUXLR213.Value.Description","AUXLR213.Count","AUXLR213.Cumulative","AUXLR213.Skip.to.Item"
"-30 to 86","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
