"DR2IZINC.Code.or.Value","DR2IZINC.Value.Description","DR2IZINC.Count","DR2IZINC.Cumulative","DR2IZINC.Skip.to.Item"
"0 to 187.07","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
