"RHD270.Code.or.Value","RHD270.Value.Description","RHD270.Count","RHD270.Cumulative","RHD270.Skip.to.Item"
"0 to 3","Range of Values",228,228,NA
"77","Refused",0,228,NA
"99","Don't know",0,228,NA
".","Missing",3369,3597,NA
