"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.03 to 8640","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
