"SSBCEP.Code.or.Value","SSBCEP.Value.Description","SSBCEP.Count","SSBCEP.Cumulative","SSBCEP.Skip.to.Item"
"0.06 to 110","Range of Values",2303,2303,NA
".","Missing",14,2317,NA
