"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.08 to 10.98","Range of Values",2388,2388,NA
".","Missing",74,2462,NA
