"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 120","Range of Values",1764,1764,NA
"666","No response",2,1766,NA
"888","Could not obtain",2,1768,NA
".","Missing",121,1889,NA
