"RFXC017.Code.or.Value","RFXC017.Value.Description","RFXC017.Count","RFXC017.Cumulative","RFXC017.Skip.to.Item"
"-5.944 to 5.265","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
