"OHAROCOH.Code.or.Value","OHAROCOH.Value.Description","OHAROCOH.Count","OHAROCOH.Cumulative","OHAROCOH.Skip.to.Item"
"1","Yes",1764,1764,NA
"2","No",3,1767,NA
".","Missing",7655,9422,NA
