"OHD25LAS.Code.or.Value","OHD25LAS.Value.Description","OHD25LAS.Count","OHD25LAS.Cumulative","OHD25LAS.Skip.to.Item"
"0 to 12","Range of Values",1555,1555,NA
"99","Calculation cannot be determined",229,1784,NA
".","Missing",4974,6758,NA
