"PFQ061C.Code.or.Value","PFQ061C.Value.Description","PFQ061C.Count","PFQ061C.Cumulative","PFQ061C.Skip.to.Item"
"1","No difficulty",1865,1865,NA
"2","Some difficulty",303,2168,NA
"3","Much difficulty",69,2237,NA
"4","Unable to do",29,2266,NA
"5","Do not do this activity",9,2275,NA
"7","Refused",0,2275,NA
"9","Don't know",1,2276,NA
".","Missing",6740,9016,NA
