"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"127.9 to 326","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
