"DR1IVD.Code.or.Value","DR1IVD.Value.Description","DR1IVD.Count","DR1IVD.Cumulative","DR1IVD.Skip.to.Item"
"0 to 74.1","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
