"WBXF072.Code.or.Value","WBXF072.Value.Description","WBXF072.Count","WBXF072.Cumulative","WBXF072.Skip.to.Item"
"2911.3064 to 2911.3064","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
