"ORXH33.Code.or.Value","ORXH33.Value.Description","ORXH33.Count","ORXH33.Cumulative","ORXH33.Skip.to.Item"
"1","Positive",8,8,NA
"2","Negative",4839,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
