"DXXPT72X.Code.or.Value","DXXPT72X.Value.Description","DXXPT72X.Count","DXXPT72X.Cumulative","DXXPT72X.Skip.to.Item"
"489.1 to 1073.3","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
