"URXTCC.Code.or.Value","URXTCC.Value.Description","URXTCC.Count","URXTCC.Cumulative","URXTCC.Skip.to.Item"
"0.42 to 73.93","Range of Values",2576,2576,NA
".","Missing",118,2694,NA
