"AUXLR170.Code.or.Value","AUXLR170.Value.Description","AUXLR170.Count","AUXLR170.Cumulative","AUXLR170.Skip.to.Item"
"-10 to 67","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
