"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 55","Range of Values",302,302,NA
"77","Refused",0,302,NA
"99","Don't know",4,306,NA
".","Missing",3291,3597,NA
