"FFQ_MISS.Code.or.Value","FFQ_MISS.Value.Description","FFQ_MISS.Count","FFQ_MISS.Cumulative","FFQ_MISS.Skip.to.Item"
"0 to 151","Range of Values",6013,6013,NA
".","Missing",0,6013,NA
