"LBDGLTSI.Code.or.Value","LBDGLTSI.Value.Description","LBDGLTSI.Count","LBDGLTSI.Cumulative","LBDGLTSI.Skip.to.Item"
"1.721 to 29.92","Range of Values",2287,2287,NA
".","Missing",528,2815,NA
