"LBD167LC.Code.or.Value","LBD167LC.Value.Description","LBD167LC.Count","LBD167LC.Cumulative","LBD167LC.Skip.to.Item"
"0","detectable result",172,172,NA
"1","below detectable limit",2126,2298,NA
".","Missing",249,2547,NA
