"LBXWBCSI.Code.or.Value","LBXWBCSI.Value.Description","LBXWBCSI.Count","LBXWBCSI.Cumulative","LBXWBCSI.Skip.to.Item"
"2.4 to 20.7","Range of Values",7981,7981,NA
".","Missing",851,8832,NA
