"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"78.9 to 316.3","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
