"OSD030be.Code.or.Value","OSD030be.Value.Description","OSD030be.Count","OSD030be.Cumulative","OSD030be.Skip.to.Item"
"15 to 27","Range of Values",5,5,NA
"80","80 or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",5930,5935,NA
