"URXEMM.Code.or.Value","URXEMM.Value.Description","URXEMM.Count","URXEMM.Cumulative","URXEMM.Skip.to.Item"
"0.0707 to 0.0707","Range of Values",2458,2458,NA
".","Missing",236,2694,NA
