"URDMX4LC.Code.or.Value","URDMX4LC.Value.Description","URDMX4LC.Count","URDMX4LC.Cumulative","URDMX4LC.Skip.to.Item"
"0","At or above detection limit",2318,2318,NA
"1","Below lower detection limit",80,2398,NA
".","Missing",107,2505,NA
