"CBD740.Code.or.Value","CBD740.Value.Description","CBD740.Count","CBD740.Cumulative","CBD740.Skip.to.Item"
"1","Yes",1833,1833,""
"2","No",3227,5060,"CBQ825"
"3","Do not shop for food",35,5095,"CBQ825"
"7","Refused",0,5095,"CBQ825"
"9","Don't know",103,5198,"CBQ825"
".","Missing",1201,6399,""
