"DR2TS100.Code.or.Value","DR2TS100.Value.Description","DR2TS100.Count","DR2TS100.Cumulative","DR2TS100.Skip.to.Item"
"0 to 9.632","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
