"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",23,23,""
"2","No",2004,2027,"DRD370P"
".","Missing",8450,10477,""
