"FSDAD.Code.or.Value","FSDAD.Value.Description","FSDAD.Count","FSDAD.Cumulative","FSDAD.Skip.to.Item"
"1","AD full food security: 0",6721,6721,NA
"2","AD marginal food security: 1-2",1431,8152,NA
"3","AD low food security: 3-5",1274,9426,NA
"4","AD very low food security: 6-10",991,10417,NA
".","Missing",120,10537,NA
