"DR1MC.Code.or.Value","DR1MC.Value.Description","DR1MC.Count","DR1MC.Cumulative","DR1MC.Skip.to.Item"
"100004 to 207829","Range of Values",1903,1903,NA
"0","No modification",124600,126503,NA
".","Missing",0,126503,NA
