"DXXCRURT.Code.or.Value","DXXCRURT.Value.Description","DXXCRURT.Count","DXXCRURT.Cumulative","DXXCRURT.Skip.to.Item"
"0.7 to 1.4","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
