"CSQ060.Code.or.Value","CSQ060.Value.Description","CSQ060.Count","CSQ060.Cumulative","CSQ060.Skip.to.Item"
"1","Less than 3 Months Ago",55,55,NA
"2","3 to 12 months (1 year) ago",103,158,NA
"3","1 to 4 years ago",213,371,NA
"4","5 to 9 years ago",124,495,NA
"5","Ten or more years ago",241,736,NA
"7","Refused",3,739,NA
"9","Don't know",31,770,NA
".","Missing",3045,3815,NA
