"DXXPT90X.Code.or.Value","DXXPT90X.Value.Description","DXXPT90X.Count","DXXPT90X.Cumulative","DXXPT90X.Skip.to.Item"
"6.8 to 564.4","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
