"PAD680.Code.or.Value","PAD680.Value.Description","PAD680.Count","PAD680.Cumulative","PAD680.Skip.to.Item"
"0 to 1200","Range of Values",7109,7109,NA
"7777","Refused",1,7110,NA
"9999","Don't know",29,7139,NA
".","Missing",2345,9484,NA
