"WTSAU2YR.Code.or.Value","WTSAU2YR.Value.Description","WTSAU2YR.Count","WTSAU2YR.Cumulative","WTSAU2YR.Skip.to.Item"
"5203.8321015 to 323087.55894","Range of Values",1785,1785,NA
".","Missing",104,1889,NA
