"URDECPLC.Code.or.Value","URDECPLC.Value.Description","URDECPLC.Count","URDECPLC.Cumulative","URDECPLC.Skip.to.Item"
"0","At or above the detection limit",2482,2482,NA
"1","Below lower detection limit",7,2489,NA
".","Missing",105,2594,NA
