"DXXWDGRT.Code.or.Value","DXXWDGRT.Value.Description","DXXWDGRT.Count","DXXWDGRT.Cumulative","DXXWDGRT.Skip.to.Item"
"0.7 to 1.1","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
