"DR1IS040.Code.or.Value","DR1IS040.Value.Description","DR1IS040.Count","DR1IS040.Cumulative","DR1IS040.Skip.to.Item"
"0 to 4.452","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
