"DR2TFDFE.Code.or.Value","DR2TFDFE.Value.Description","DR2TFDFE.Count","DR2TFDFE.Cumulative","DR2TFDFE.Skip.to.Item"
"0 to 6057","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
